parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,logerror,transactiondate
11113945,1.0,,,3.0,4.0,,7.0,3.0,,,2655.0,2655.0,,,,,6037.0,,3.0,,,,2.0,34449413.0,-118562310.0,5706.0,,,,,,0100,261.0,SCUR2,60379201.081,,3101.0,,96377.0,0.0,,,,1.0,,,2000.0,,,290215.0,482035.0,2016.0,191820.0,7172.01,,,60379201081000.0,-0.0111620442552,2017-04-06
10856923,1.0,,,5.0,4.0,,7.0,5.0,,,3499.0,3499.0,,,,,6037.0,,5.0,,,,2.0,34156869.0,-118459459.0,6749.0,1.0,,,,1.0,0101,261.0,LAR1,60371413.022004,12447.0,3101.0,27080.0,96412.0,0.0,,,,1.0,,,1990.0,,,423557.0,956840.0,2016.0,533283.0,11556.05,,,60371413022004.0,0.0396273535689,2017-08-28
11504474,1.0,,,4.0,4.0,,12.0,4.0,,,3407.0,3407.0,,,,,6037.0,,4.0,,,,2.0,33900236.0,-118408634.0,4726.0,,,,,,0100,261.0,MNRS,60376203.01301,19177.0,3101.0,,96117.0,0.0,,,,1.0,,,2007.0,,,1109578.0,2311622.0,2016.0,1202044.0,25585.6,,,60376203013010.0,0.0585723868956,2017-01-12
11166796,1.0,,,2.0,3.0,,6.0,2.0,,,1018.0,1018.0,,,,,6037.0,,2.0,,,,2.0,34401879.0,-118543362.0,4078.0,,,,,,010D,269.0,SCUR3,60379203.311001,54311.0,3101.0,48200.0,96378.0,0.0,,,,1.0,,,1981.0,,,99435.0,202006.0,2016.0,102571.0,3184.66,,,60379203311001.0,-0.170320659181,2017-08-23
11203234,1.0,,,2.0,3.0,,6.0,2.0,,,1432.0,1432.0,,,,,6037.0,,2.0,,,,2.0,34565472.0,-118075987.0,6294.0,,,,,,0100,261.0,PDRPD12U*,60379106.032,40227.0,3101.0,,97328.0,0.0,,,,1.0,,,1978.0,,,69291.0,92132.0,2016.0,22841.0,1995.28,,,60379106032000.0,-0.00308181203629,2017-02-07
14044002,5.0,,,1.5,3.0,,,1.5,,,1296.0,1296.0,,,,,6059.0,1.0,1.0,2.0,400.0,,6.0,33654118.0,-117985177.0,1584.0,,,,,,122,261.0,,60590992.201002,25218.0,1286.0,,96964.0,5.0,,1.0,,,,,1964.0,2.0,,78092.0,349415.0,2016.0,271323.0,4147.94,,,60590992201002.0,0.0401139207784,2017-03-29
14195110,13.0,,,3.0,4.0,,,3.0,,,2396.0,2396.0,,,,,6059.0,,3.0,2.0,593.0,True,,33886986.0,-117774225.0,9000.0,1.0,,,1.0,,122,261.0,,60590218.292004,21412.0,1286.0,,97078.0,8.0,,,,,,,1985.0,2.0,,297814.0,674971.0,2016.0,377157.0,8027.2,,,60590218292004.0,0.00874510580092,2017-04-05
10812359,1.0,,,4.0,5.0,,7.0,4.0,,,3458.0,3458.0,,,,,6037.0,,4.0,,,,2.0,34152351.0,-118575165.0,18065.0,1.0,,,,1.0,0101,261.0,LARA,60371375.04100899,12447.0,3101.0,48570.0,96387.0,0.0,,,,1.0,,,1978.0,,,459535.0,954934.0,2016.0,495399.0,11815.91,Y,15.0,60371375041009.0,0.089711333119,2017-01-10
11135390,1.0,,,3.0,4.0,,7.0,3.0,,,2866.0,2866.0,,,,,6037.0,,3.0,,,,2.0,34392036.0,-118596482.0,8288.0,,,,,,0100,261.0,LCR1,60379203.381003,,3101.0,,96395.0,0.0,,,,1.0,,,2001.0,,,335134.0,715751.0,2016.0,380617.0,10889.66,,,60379203381003.0,-0.0102586927993,2017-03-29
14476145,13.0,,,3.0,2.0,,,3.0,,,1740.0,1740.0,,,,,6059.0,,3.0,2.0,458.0,,,33622273.0,-117637770.0,3478.0,,,,,,122,261.0,,60590320.373011,12773.0,1286.0,,96996.0,6.0,,,,,,,1981.0,2.0,,164203.0,371073.0,2016.0,206870.0,3773.7,,,60590320373011.0,-0.314286954767,2017-02-28
